Year,Units,Series,Type of unpaid work,Degree of urbanisation,Age group,Sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2022,Percentage,Time spent on unpaid domestic and care work,Domestic work,,65 years and older,Male,,,,13.7
2013,Percentage,Time spent on unpaid domestic and care work,Domestic work,Urban,15 years and older,,,,,11.5
2022,Percentage,Time spent on unpaid domestic and care work,Domestic work,Urban,15 years and older,,,,,11.3
2013,Percentage,Time spent on unpaid domestic and care work,Domestic work,Urban,15 to under 25 years,,,,,5.2
2022,Percentage,Time spent on unpaid domestic and care work,Domestic work,Urban,15 to under 25 years,,,,,5.6
2013,Percentage,Time spent on unpaid domestic and care work,Domestic work,Urban,25 to under 45 years,,,,,10.0
2022,Percentage,Time spent on unpaid domestic and care work,Domestic work,Urban,25 to under 45 years,,,,,9.2
2013,Percentage,Time spent on unpaid domestic and care work,Domestic work,Urban,45 to under 55 years,,,,,12.1
2022,Percentage,Time spent on unpaid domestic and care work,Domestic work,Urban,45 to under 55 years,,,,,11.4
2013,Percentage,Time spent on unpaid domestic and care work,Domestic work,Urban,55 to under 65 years,,,,,13.1
2022,Percentage,Time spent on unpaid domestic and care work,Domestic work,Urban,55 to under 65 years,,,,,12.7
2013,Percentage,Time spent on unpaid domestic and care work,Domestic work,Urban,65 years and older,,,,,15.4
2022,Percentage,Time spent on unpaid domestic and care work,Domestic work,Urban,65 years and older,,,,,14.9
2013,Percentage,Time spent on unpaid domestic and care work,Domestic work,Rural areas,15 years and older,,,,,11.9
2022,Percentage,Time spent on unpaid domestic and care work,Domestic work,Rural areas,15 years and older,,,,,11.7
2013,Percentage,Time spent on unpaid domestic and care work,Domestic work,Rural areas,15 to under 25 years,,,,,5.1
2022,Percentage,Time spent on unpaid domestic and care work,Domestic work,Rural areas,15 to under 25 years,,,,,4.9
2013,Percentage,Time spent on unpaid domestic and care work,Domestic work,Rural areas,25 to under 45 years,,,,,11.2
2022,Percentage,Time spent on unpaid domestic and care work,Domestic work,Rural areas,25 to under 45 years,,,,,9.4
2013,Percentage,Time spent on unpaid domestic and care work,Domestic work,Rural areas,45 to under 55 years,,,,,12.6
2022,Percentage,Time spent on unpaid domestic and care work,Domestic work,Rural areas,45 to under 55 years,,,,,12.1
2013,Percentage,Time spent on unpaid domestic and care work,Domestic work,Rural areas,55 to under 65 years,,,,,13.5
2022,Percentage,Time spent on unpaid domestic and care work,Domestic work,Rural areas,55 to under 65 years,,,,,13.6
2013,Percentage,Time spent on unpaid domestic and care work,Domestic work,Rural areas,65 years and older,,,,,15.2
2022,Percentage,Time spent on unpaid domestic and care work,Domestic work,Rural areas,65 years and older,,,,,16.0
2013,Percentage,Time spent on unpaid domestic and care work,Domestic work,Urban,15 years and older,Female,,,,13.9
2022,Percentage,Time spent on unpaid domestic and care work,Domestic work,Urban,15 years and older,Female,,,,13.3
2013,Percentage,Time spent on unpaid domestic and care work,Domestic work,Urban,15 to under 25 years,Female,,,,6.5
2022,Percentage,Time spent on unpaid domestic and care work,Domestic work,Urban,15 to under 25 years,Female,,,,6.9
2013,Percentage,Time spent on unpaid domestic and care work,Domestic work,Urban,25 to under 45 years,Female,,,,12.5
2022,Percentage,Time spent on unpaid domestic and care work,Domestic work,Urban,25 to under 45 years,Female,,,,11.3
2013,Percentage,Time spent on unpaid domestic and care work,Domestic work,Urban,45 to under 55 years,Female,,,,14.8
2022,Percentage,Time spent on unpaid domestic and care work,Domestic work,Urban,45 to under 55 years,Female,,,,13.9
2013,Percentage,Time spent on unpaid domestic and care work,Domestic work,Urban,55 to under 65 years,Female,,,,15.9
2022,Percentage,Time spent on unpaid domestic and care work,Domestic work,Urban,55 to under 65 years,Female,,,,15.1
2013,Percentage,Time spent on unpaid domestic and care work,Domestic work,Urban,65 years and older,Female,,,,17.3
2022,Percentage,Time spent on unpaid domestic and care work,Domestic work,Urban,65 years and older,Female,,,,16.3
2013,Percentage,Time spent on unpaid domestic and care work,Domestic work,Rural areas,15 years and older,Female,,,,14.4
2022,Percentage,Time spent on unpaid domestic and care work,Domestic work,Rural areas,15 years and older,Female,,,,13.7
2013,Percentage,Time spent on unpaid domestic and care work,Domestic work,Rural areas,15 to under 25 years,Female,,,,5.9
2022,Percentage,Time spent on unpaid domestic and care work,Domestic work,Rural areas,15 to under 25 years,Female,,,,6.0
2013,Percentage,Time spent on unpaid domestic and care work,Domestic work,Rural areas,25 to under 45 years,Female,,,,14.4
2022,Percentage,Time spent on unpaid domestic and care work,Domestic work,Rural areas,25 to under 45 years,Female,,,,11.2
2013,Percentage,Time spent on unpaid domestic and care work,Domestic work,Rural areas,45 to under 55 years,Female,,,,15.5
2022,Percentage,Time spent on unpaid domestic and care work,Domestic work,Rural areas,45 to under 55 years,Female,,,,14.3
2013,Percentage,Time spent on unpaid domestic and care work,Domestic work,Rural areas,55 to under 65 years,Female,,,,15.2
2022,Percentage,Time spent on unpaid domestic and care work,Domestic work,Rural areas,55 to under 65 years,Female,,,,15.4
2013,Percentage,Time spent on unpaid domestic and care work,Domestic work,Rural areas,65 years and older,Female,,,,17.4
2022,Percentage,Time spent on unpaid domestic and care work,Domestic work,Rural areas,65 years and older,Female,,,,17.3
2013,Percentage,Time spent on unpaid domestic and care work,Domestic work,Urban,15 years and older,Male,,,,9.1
2022,Percentage,Time spent on unpaid domestic and care work,Domestic work,Urban,15 years and older,Male,,,,9.2
2013,Percentage,Time spent on unpaid domestic and care work,Domestic work,Urban,15 to under 25 years,Male,,,,4.0
2022,Percentage,Time spent on unpaid domestic and care work,Domestic work,Urban,15 to under 25 years,Male,,,,4.3
2013,Percentage,Time spent on unpaid domestic and care work,Domestic work,Urban,25 to under 45 years,Male,,,,7.4
2022,Percentage,Time spent on unpaid domestic and care work,Domestic work,Urban,25 to under 45 years,Male,,,,7.2
2013,Percentage,Time spent on unpaid domestic and care work,Domestic work,Urban,45 to under 55 years,Male,,,,9.4
2022,Percentage,Time spent on unpaid domestic and care work,Domestic work,Urban,45 to under 55 years,Male,,,,8.8
2013,Percentage,Time spent on unpaid domestic and care work,Domestic work,Urban,55 to under 65 years,Male,,,,10.4
2022,Percentage,Time spent on unpaid domestic and care work,Domestic work,Urban,55 to under 65 years,Male,,,,10.4
