Year,Units,Series,Art der unbezahlten Arbeit,Verstädterungsgrad,Altersklasse,Geschlecht,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2013,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,45 bis unter 55 Jahre,Weiblich,,,,15.8
2022,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,45 bis unter 55 Jahre,Weiblich,,,,15.7
2013,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,55 bis unter 65 Jahre,Weiblich,,,,16.0
2022,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,55 bis unter 65 Jahre,Weiblich,,,,15.4
2013,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,65 Jahre und älter,Weiblich,,,,17.5
2022,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,65 Jahre und älter,Weiblich,,,,16.7
2013,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,,Männlich,,,,9.6
2022,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,,Männlich,,,,10.1
2013,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Ländliche Gebiete,,Männlich,,,,9.8
2022,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Ländliche Gebiete,,Männlich,,,,10.3
2013,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,15 Jahre und älter,Männlich,,,,9.9
2022,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,15 Jahre und älter,Männlich,,,,10.5
2013,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,15 bis unter 25 Jahre,Männlich,,,,4.1
2022,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,15 bis unter 25 Jahre,Männlich,,,,4.3
2013,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,25 bis unter 45 Jahre,Männlich,,,,9.5
2022,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,25 bis unter 45 Jahre,Männlich,,,,10.1
2013,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,45 bis unter 55 Jahre,Männlich,,,,10.2
2022,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,45 bis unter 55 Jahre,Männlich,,,,10.4
2013,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,55 bis unter 65 Jahre,Männlich,,,,10.9
2022,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,55 bis unter 65 Jahre,Männlich,,,,10.9
2013,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,65 Jahre und älter,Männlich,,,,13.6
2022,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,,65 Jahre und älter,Männlich,,,,13.9
2013,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,15 Jahre und älter,,,,,12.8
2022,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,15 Jahre und älter,,,,,13.1
2013,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,15 bis unter 25 Jahre,,,,,5.5
2022,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,15 bis unter 25 Jahre,,,,,5.9
2013,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,25 bis unter 45 Jahre,,,,,13.4
2022,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,25 bis unter 45 Jahre,,,,,13.9
2013,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,45 bis unter 55 Jahre,,,,,12.9
2022,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,45 bis unter 55 Jahre,,,,,12.9
2013,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,55 bis unter 65 Jahre,,,,,13.4
2022,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,55 bis unter 65 Jahre,,,,,13.0
2013,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,65 Jahre und älter,,,,,15.6
2022,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Städte,65 Jahre und älter,,,,,15.0
2013,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Ländliche Gebiete,15 Jahre und älter,,,,,13.0
2022,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Ländliche Gebiete,15 Jahre und älter,,,,,13.4
2013,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Ländliche Gebiete,15 bis unter 25 Jahre,,,,,5.4
2022,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Ländliche Gebiete,15 bis unter 25 Jahre,,,,,5.0
2013,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Ländliche Gebiete,25 bis unter 45 Jahre,,,,,14.5
2022,Prozent,Zeitaufwand für unbezahlte Haus- und Pflegearbeit,,Ländliche Gebiete,25 bis unter 45 Jahre,,,,,13.7
