Year,educational level,type of ict skill,subject,age group,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2024,,installing software or apps,,25 to under 65 years,.,,,population with computer-related activities,
2025,,installing software or apps,,25 to under 65 years,,,,population with computer-related activities,56.8
2010,,"creating files integrating elements such as text, pictures, tables, charts, animations or sound",,25 to under 65 years,.,,,population with computer-related activities,
2011,,"creating files integrating elements such as text, pictures, tables, charts, animations or sound",,25 to under 65 years,,,,population with computer-related activities,32.0
2012,,"creating files integrating elements such as text, pictures, tables, charts, animations or sound",,25 to under 65 years,,,,population with computer-related activities,30.0
2013,,"creating files integrating elements such as text, pictures, tables, charts, animations or sound",,25 to under 65 years,.,,,population with computer-related activities,
2014,,"creating files integrating elements such as text, pictures, tables, charts, animations or sound",,25 to under 65 years,,,,population with computer-related activities,33.0
2015,,"creating files integrating elements such as text, pictures, tables, charts, animations or sound",,25 to under 65 years,.,,,population with computer-related activities,
2016,,"creating files integrating elements such as text, pictures, tables, charts, animations or sound",,25 to under 65 years,.,,,population with computer-related activities,
2017,,"creating files integrating elements such as text, pictures, tables, charts, animations or sound",,25 to under 65 years,.,,,population with computer-related activities,
2018,,"creating files integrating elements such as text, pictures, tables, charts, animations or sound",,25 to under 65 years,.,,,population with computer-related activities,
2019,,"creating files integrating elements such as text, pictures, tables, charts, animations or sound",,25 to under 65 years,.,,,population with computer-related activities,
2020,,"creating files integrating elements such as text, pictures, tables, charts, animations or sound",,25 to under 65 years,.,,,population with computer-related activities,
2021,,"creating files integrating elements such as text, pictures, tables, charts, animations or sound",,25 to under 65 years,,,,population with computer-related activities,23.8
2022,,"creating files integrating elements such as text, pictures, tables, charts, animations or sound",,25 to under 65 years,.,,,population with computer-related activities,
2023,,"creating files integrating elements such as text, pictures, tables, charts, animations or sound",,25 to under 65 years,,,,population with computer-related activities,27.2
2024,,"creating files integrating elements such as text, pictures, tables, charts, animations or sound",,25 to under 65 years,.,,,population with computer-related activities,
2025,,"creating files integrating elements such as text, pictures, tables, charts, animations or sound",,25 to under 65 years,,,,population with computer-related activities,28.3
2010,,"using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",,25 to under 65 years,.,,,population with computer-related activities,
2011,,"using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",,25 to under 65 years,.,,,population with computer-related activities,
2012,,"using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",,25 to under 65 years,.,,,population with computer-related activities,
2013,,"using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",,25 to under 65 years,.,,,population with computer-related activities,
2014,,"using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",,25 to under 65 years,.,,,population with computer-related activities,
2015,,"using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",,25 to under 65 years,,,,population with computer-related activities,35.0
2016,,"using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",,25 to under 65 years,,,,population with computer-related activities,34.0
2017,,"using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",,25 to under 65 years,,,,population with computer-related activities,37.0
2018,,"using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",,25 to under 65 years,.,,,population with computer-related activities,
2019,,"using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",,25 to under 65 years,,,,population with computer-related activities,37.0
2020,,"using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",,25 to under 65 years,.,,,population with computer-related activities,
2021,,"using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",,25 to under 65 years,|,,,population with computer-related activities,26.9
2022,,"using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",,25 to under 65 years,.,,,population with computer-related activities,
2023,,"using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",,25 to under 65 years,,,,population with computer-related activities,30.2
2024,,"using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",,25 to under 65 years,.,,,population with computer-related activities,
2025,,"using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",,25 to under 65 years,,,,population with computer-related activities,32.6
