Year,Educational level,Type of ICT skill,Subject,Age group,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2024,,"Using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",,16 to under 25 years,.,,,Population with computer-related activities,
2025,,"Using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",,16 to under 25 years,,,,Population with computer-related activities,28.2
2010,,Copying or moving of files and folders,,25 to under 65 years,.,,,Population with computer-related activities,
2011,,Copying or moving of files and folders,,25 to under 65 years,,,,Population with computer-related activities,76.0
2012,,Copying or moving of files and folders,,25 to under 65 years,,,,Population with computer-related activities,71.0
2013,,Copying or moving of files and folders,,25 to under 65 years,.,,,Population with computer-related activities,
2014,,Copying or moving of files and folders,,25 to under 65 years,,,,Population with computer-related activities,80.0
2015,,Copying or moving of files and folders,,25 to under 65 years,,,,Population with computer-related activities,72.0
2016,,Copying or moving of files and folders,,25 to under 65 years,,,,Population with computer-related activities,72.0
2017,,Copying or moving of files and folders,,25 to under 65 years,,,,Population with computer-related activities,73.0
2018,,Copying or moving of files and folders,,25 to under 65 years,.,,,Population with computer-related activities,
2019,,Copying or moving of files and folders,,25 to under 65 years,,,,Population with computer-related activities,75.0
2011,,Using copy or cut and paste tools to duplicate or move information on screen,,25 to under 65 years,,,,Population with computer-related activities,74.0
2012,,Using copy or cut and paste tools to duplicate or move information on screen,,25 to under 65 years,,,,Population with computer-related activities,69.0
2014,,Using copy or cut and paste tools to duplicate or move information on screen,,25 to under 65 years,,,,Population with computer-related activities,77.0
2010,,Writing code in a programming language,,25 to under 65 years,.,,,Population with computer-related activities,
2011,,Writing code in a programming language,,25 to under 65 years,.,,,Population with computer-related activities,
2012,,Writing code in a programming language,,25 to under 65 years,.,,,Population with computer-related activities,
2013,,Writing code in a programming language,,25 to under 65 years,.,,,Population with computer-related activities,
2014,,Writing code in a programming language,,25 to under 65 years,.,,,Population with computer-related activities,
2015,,Writing code in a programming language,,25 to under 65 years,,,,Population with computer-related activities,6.0
2016,,Writing code in a programming language,,25 to under 65 years,,,,Population with computer-related activities,5.0
2017,,Writing code in a programming language,,25 to under 65 years,,,,Population with computer-related activities,5.0
2018,,Writing code in a programming language,,25 to under 65 years,.,,,Population with computer-related activities,
2019,,Writing code in a programming language,,25 to under 65 years,,,,Population with computer-related activities,5.0
2020,,Writing code in a programming language,,25 to under 65 years,.,,,Population with computer-related activities,
2021,,Writing code in a programming language,,25 to under 65 years,|,,,Population with computer-related activities,4.5
2022,,Writing code in a programming language,,25 to under 65 years,.,,,Population with computer-related activities,
2023,,Writing code in a programming language,,25 to under 65 years,,,,Population with computer-related activities,5.8
2024,,Writing code in a programming language,,25 to under 65 years,.,,,Population with computer-related activities,
2025,,Writing code in a programming language,,25 to under 65 years,,,,Population with computer-related activities,6.4
2011,,"Connecting and installing new devices, eg a printer or a modem",,25 to under 65 years,,,,Population with computer-related activities,47.0
2012,,"Connecting and installing new devices, eg a printer or a modem",,25 to under 65 years,,,,Population with computer-related activities,48.0
2014,,"Connecting and installing new devices, eg a printer or a modem",,25 to under 65 years,,,,Population with computer-related activities,53.0
2010,,Transferring files between computer and other devices,,25 to under 65 years,.,,,Population with computer-related activities,
2011,,Transferring files between computer and other devices,,25 to under 65 years,,,,Population with computer-related activities,63.0
2012,,Transferring files between computer and other devices,,25 to under 65 years,,,,Population with computer-related activities,61.0
2013,,Transferring files between computer and other devices,,25 to under 65 years,.,,,Population with computer-related activities,
2014,,Transferring files between computer and other devices,,25 to under 65 years,,,,Population with computer-related activities,68.0
2015,,Transferring files between computer and other devices,,25 to under 65 years,,,,Population with computer-related activities,63.0
2016,,Transferring files between computer and other devices,,25 to under 65 years,,,,Population with computer-related activities,65.0
2017,,Transferring files between computer and other devices,,25 to under 65 years,,,,Population with computer-related activities,66.0
2018,,Transferring files between computer and other devices,,25 to under 65 years,.,,,Population with computer-related activities,
2019,,Transferring files between computer and other devices,,25 to under 65 years,,,,Population with computer-related activities,69.0
2020,,Transferring files between computer and other devices,,25 to under 65 years,.,,,Population with computer-related activities,
2021,,Transferring files between computer and other devices,,25 to under 65 years,|,,,Population with computer-related activities,54.7
2022,,Transferring files between computer and other devices,,25 to under 65 years,.,,,Population with computer-related activities,
2023,,Transferring files between computer and other devices,,25 to under 65 years,,,,Population with computer-related activities,62.3
2024,,Transferring files between computer and other devices,,25 to under 65 years,.,,,Population with computer-related activities,
2025,,Transferring files between computer and other devices,,25 to under 65 years,,,,Population with computer-related activities,63.4
2010,,Installing software or apps,,25 to under 65 years,.,,,Population with computer-related activities,
2011,,Installing software or apps,,25 to under 65 years,.,,,Population with computer-related activities,
2012,,Installing software or apps,,25 to under 65 years,.,,,Population with computer-related activities,
2013,,Installing software or apps,,25 to under 65 years,.,,,Population with computer-related activities,
2014,,Installing software or apps,,25 to under 65 years,.,,,Population with computer-related activities,
2015,,Installing software or apps,,25 to under 65 years,,,,Population with computer-related activities,63.0
2016,,Installing software or apps,,25 to under 65 years,,,,Population with computer-related activities,66.0
2017,,Installing software or apps,,25 to under 65 years,,,,Population with computer-related activities,65.0
2018,,Installing software or apps,,25 to under 65 years,.,,,Population with computer-related activities,
2019,,Installing software or apps,,25 to under 65 years,,,,Population with computer-related activities,72.0
2020,,Installing software or apps,,25 to under 65 years,.,,,Population with computer-related activities,
2021,,Installing software or apps,,25 to under 65 years,|,,,Population with computer-related activities,45.9
2022,,Installing software or apps,,25 to under 65 years,.,,,Population with computer-related activities,
2023,,Installing software or apps,,25 to under 65 years,,,,Population with computer-related activities,55.3
2024,,Installing software or apps,,25 to under 65 years,.,,,Population with computer-related activities,
2025,,Installing software or apps,,25 to under 65 years,,,,Population with computer-related activities,56.8
2010,,"Creating files integrating elements such as text, pictures, tables, charts, animations or sound",,25 to under 65 years,.,,,Population with computer-related activities,
2011,,"Creating files integrating elements such as text, pictures, tables, charts, animations or sound",,25 to under 65 years,,,,Population with computer-related activities,32.0
2012,,"Creating files integrating elements such as text, pictures, tables, charts, animations or sound",,25 to under 65 years,,,,Population with computer-related activities,30.0
2013,,"Creating files integrating elements such as text, pictures, tables, charts, animations or sound",,25 to under 65 years,.,,,Population with computer-related activities,
2014,,"Creating files integrating elements such as text, pictures, tables, charts, animations or sound",,25 to under 65 years,,,,Population with computer-related activities,33.0
2015,,"Creating files integrating elements such as text, pictures, tables, charts, animations or sound",,25 to under 65 years,.,,,Population with computer-related activities,
2016,,"Creating files integrating elements such as text, pictures, tables, charts, animations or sound",,25 to under 65 years,.,,,Population with computer-related activities,
2017,,"Creating files integrating elements such as text, pictures, tables, charts, animations or sound",,25 to under 65 years,.,,,Population with computer-related activities,
2018,,"Creating files integrating elements such as text, pictures, tables, charts, animations or sound",,25 to under 65 years,.,,,Population with computer-related activities,
2019,,"Creating files integrating elements such as text, pictures, tables, charts, animations or sound",,25 to under 65 years,.,,,Population with computer-related activities,
2020,,"Creating files integrating elements such as text, pictures, tables, charts, animations or sound",,25 to under 65 years,.,,,Population with computer-related activities,
2021,,"Creating files integrating elements such as text, pictures, tables, charts, animations or sound",,25 to under 65 years,,,,Population with computer-related activities,23.8
2022,,"Creating files integrating elements such as text, pictures, tables, charts, animations or sound",,25 to under 65 years,.,,,Population with computer-related activities,
2023,,"Creating files integrating elements such as text, pictures, tables, charts, animations or sound",,25 to under 65 years,,,,Population with computer-related activities,27.2
2024,,"Creating files integrating elements such as text, pictures, tables, charts, animations or sound",,25 to under 65 years,.,,,Population with computer-related activities,
2025,,"Creating files integrating elements such as text, pictures, tables, charts, animations or sound",,25 to under 65 years,,,,Population with computer-related activities,28.3
2010,,"Using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",,25 to under 65 years,.,,,Population with computer-related activities,
2011,,"Using spreadsheet`s advanced functions to organize and analyze data, such as sorting, filtering, using formulas, creating charts",,25 to under 65 years,.,,,Population with computer-related activities,
