Year,Series,Units,Age group,Sex,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Value
2020,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",70 years and younger,,,,,3411.0
2021,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",70 years and younger,,,,,3549.0
2022,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",70 years and younger,,,,,3558.0
2023,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",70 years and younger,,,,,3435.0
2024,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",70 years and younger,,,,,3363.0
2010,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",70 years and younger,Female,,,,2716.0
2011,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",70 years and younger,Female,,,,2741.0
2012,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",70 years and younger,Female,,,,2628.0
2013,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",70 years and younger,Female,,,,2667.0
2014,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",70 years and younger,Female,,,,2552.0
2015,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",70 years and younger,Female,,,,2625.0
2016,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",70 years and younger,Female,,,,2597.0
2017,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",70 years and younger,Female,,,,2529.0
2018,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",70 years and younger,Female,,,,2550.0
2019,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",70 years and younger,Female,,,,2463.0
2020,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",70 years and younger,Female,,,,2444.0
2021,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",70 years and younger,Female,,,,2525.0
2022,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",70 years and younger,Female,,,,2575.0
2023,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",70 years and younger,Female,,,,2484.0
2024,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",70 years and younger,Female,,,,2464.0
2010,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",70 years and younger,Male,,,,4971.0
2011,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",70 years and younger,Male,,,,4949.0
2012,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",70 years and younger,Male,,,,4774.0
2013,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",70 years and younger,Male,,,,4742.0
2014,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",70 years and younger,Male,,,,4587.0
2015,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",70 years and younger,Male,,,,4671.0
2016,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",70 years and younger,Male,,,,4602.0
2017,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",70 years and younger,Male,,,,4416.0
2018,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",70 years and younger,Male,,,,4459.0
2019,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",70 years and younger,Male,,,,4319.0
2020,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",70 years and younger,Male,,,,4355.0
2021,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",70 years and younger,Male,,,,4549.0
2022,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",70 years and younger,Male,,,,4517.0
2023,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",70 years and younger,Male,,,,4365.0
2024,"Potential years of life lost (PYLL), all causes","Per 100,000 inhabitants",70 years and younger,Male,,,,4241.0
