Year,Units,Altersklasse,Geschlecht,Art der Opfer-Tatverdächtigen-Beziehung,Grad des Unsicherheitsgefühls,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2011,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,0.83
2012,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,0.64
2013,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Weiblich,,,|,,,Opfer von vorsätzlicher Tötung,0.74
2014,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,0.84
2015,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,0.62
2016,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,1.1
2017,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,0.82
2018,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,0.86
2019,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,0.67
2020,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,0.67
2021,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,0.66
2022,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,0.65
2023,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,0.87
2024,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Weiblich,,,|,,,Opfer von vorsätzlicher Tötung,0.73
2025,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,1.33
2010,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Männlich,,,,,,Opfer von vorsätzlicher Tötung,1.1
2011,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Männlich,,,,,,Opfer von vorsätzlicher Tötung,1.09
2012,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Männlich,,,,,,Opfer von vorsätzlicher Tötung,0.98
2013,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Männlich,,,|,,,Opfer von vorsätzlicher Tötung,1.0
2014,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Männlich,,,,,,Opfer von vorsätzlicher Tötung,1.03
2015,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Männlich,,,,,,Opfer von vorsätzlicher Tötung,0.87
2016,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Männlich,,,,,,Opfer von vorsätzlicher Tötung,1.31
2017,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Männlich,,,,,,Opfer von vorsätzlicher Tötung,1.07
2018,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Männlich,,,,,,Opfer von vorsätzlicher Tötung,1.18
2019,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Männlich,,,,,,Opfer von vorsätzlicher Tötung,0.93
2020,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Männlich,,,,,,Opfer von vorsätzlicher Tötung,1.07
2021,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Männlich,,,,,,Opfer von vorsätzlicher Tötung,0.9
2022,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Männlich,,,,,,Opfer von vorsätzlicher Tötung,0.92
2023,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Männlich,,,,,,Opfer von vorsätzlicher Tötung,1.13
2024,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Männlich,,,|,,,Opfer von vorsätzlicher Tötung,1.23
2025,Je 100 000 Einwohner/-innen,21 bis unter 60 Jahre,Männlich,,,,,,Opfer von vorsätzlicher Tötung,1.44
2010,Je 100 000 Einwohner/-innen,60 Jahre und älter,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,1.02
2011,Je 100 000 Einwohner/-innen,60 Jahre und älter,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,0.93
2012,Je 100 000 Einwohner/-innen,60 Jahre und älter,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,0.89
2013,Je 100 000 Einwohner/-innen,60 Jahre und älter,Weiblich,,,|,,,Opfer von vorsätzlicher Tötung,1.01
2014,Je 100 000 Einwohner/-innen,60 Jahre und älter,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,0.99
2015,Je 100 000 Einwohner/-innen,60 Jahre und älter,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,1.16
2016,Je 100 000 Einwohner/-innen,60 Jahre und älter,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,1.31
2017,Je 100 000 Einwohner/-innen,60 Jahre und älter,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,1.33
2018,Je 100 000 Einwohner/-innen,60 Jahre und älter,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,1.04
2019,Je 100 000 Einwohner/-innen,60 Jahre und älter,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,0.82
2020,Je 100 000 Einwohner/-innen,60 Jahre und älter,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,1.24
2021,Je 100 000 Einwohner/-innen,60 Jahre und älter,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,1.08
2022,Je 100 000 Einwohner/-innen,60 Jahre und älter,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,1.24
2023,Je 100 000 Einwohner/-innen,60 Jahre und älter,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,0.99
2024,Je 100 000 Einwohner/-innen,60 Jahre und älter,Weiblich,,,|,,,Opfer von vorsätzlicher Tötung,1.08
2025,Je 100 000 Einwohner/-innen,60 Jahre und älter,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,1.42
2010,Je 100 000 Einwohner/-innen,60 Jahre und älter,Männlich,,,,,,Opfer von vorsätzlicher Tötung,0.93
2011,Je 100 000 Einwohner/-innen,60 Jahre und älter,Männlich,,,,,,Opfer von vorsätzlicher Tötung,0.77
2012,Je 100 000 Einwohner/-innen,60 Jahre und älter,Männlich,,,,,,Opfer von vorsätzlicher Tötung,0.76
2013,Je 100 000 Einwohner/-innen,60 Jahre und älter,Männlich,,,|,,,Opfer von vorsätzlicher Tötung,0.94
2014,Je 100 000 Einwohner/-innen,60 Jahre und älter,Männlich,,,,,,Opfer von vorsätzlicher Tötung,0.95
2015,Je 100 000 Einwohner/-innen,60 Jahre und älter,Männlich,,,,,,Opfer von vorsätzlicher Tötung,1.03
2016,Je 100 000 Einwohner/-innen,60 Jahre und älter,Männlich,,,,,,Opfer von vorsätzlicher Tötung,1.27
2017,Je 100 000 Einwohner/-innen,60 Jahre und älter,Männlich,,,,,,Opfer von vorsätzlicher Tötung,1.41
2018,Je 100 000 Einwohner/-innen,60 Jahre und älter,Männlich,,,,,,Opfer von vorsätzlicher Tötung,0.97
2019,Je 100 000 Einwohner/-innen,60 Jahre und älter,Männlich,,,,,,Opfer von vorsätzlicher Tötung,0.9
2020,Je 100 000 Einwohner/-innen,60 Jahre und älter,Männlich,,,,,,Opfer von vorsätzlicher Tötung,1.21
2021,Je 100 000 Einwohner/-innen,60 Jahre und älter,Männlich,,,,,,Opfer von vorsätzlicher Tötung,0.92
2022,Je 100 000 Einwohner/-innen,60 Jahre und älter,Männlich,,,,,,Opfer von vorsätzlicher Tötung,0.89
2023,Je 100 000 Einwohner/-innen,60 Jahre und älter,Männlich,,,,,,Opfer von vorsätzlicher Tötung,0.88
2024,Je 100 000 Einwohner/-innen,60 Jahre und älter,Männlich,,,|,,,Opfer von vorsätzlicher Tötung,1.06
2025,Je 100 000 Einwohner/-innen,60 Jahre und älter,Männlich,,,,,,Opfer von vorsätzlicher Tötung,1.5
2010,Anzahl,,,,,,,,Opfer von vorsätzlicher Tötung,793.0
2011,Anzahl,,,,,,,,Opfer von vorsätzlicher Tötung,738.0
2012,Anzahl,,,,,,,,Opfer von vorsätzlicher Tötung,659.0
2013,Anzahl,,,,,,,,Opfer von vorsätzlicher Tötung,682.0
2014,Anzahl,,,,,,,,Opfer von vorsätzlicher Tötung,716.0
2015,Anzahl,,,,,,,,Opfer von vorsätzlicher Tötung,682.0
2016,Anzahl,,,,,,,,Opfer von vorsätzlicher Tötung,963.0
2017,Anzahl,,,,,,,,Opfer von vorsätzlicher Tötung,813.0
2018,Anzahl,,,,,,,,Opfer von vorsätzlicher Tötung,788.0
2019,Anzahl,,,,,,,,Opfer von vorsätzlicher Tötung,623.0
2020,Anzahl,,,,,,,,Opfer von vorsätzlicher Tötung,782.0
2021,Anzahl,,,,,,,,Opfer von vorsätzlicher Tötung,695.0
2022,Anzahl,,,,,,,,Opfer von vorsätzlicher Tötung,686.0
2023,Anzahl,,,,,,,,Opfer von vorsätzlicher Tötung,770.0
2024,Anzahl,,,,,,,,Opfer von vorsätzlicher Tötung,779.0
2025,Anzahl,,,,,,,,Opfer von vorsätzlicher Tötung,1112.0
2010,Anzahl,13 Jahre und jünger,,,,,,,Opfer von vorsätzlicher Tötung,77.0
2011,Anzahl,13 Jahre und jünger,,,,,,,Opfer von vorsätzlicher Tötung,73.0
2012,Anzahl,13 Jahre und jünger,,,,,,,Opfer von vorsätzlicher Tötung,90.0
2013,Anzahl,13 Jahre und jünger,,,,,,,Opfer von vorsätzlicher Tötung,66.0
2014,Anzahl,13 Jahre und jünger,,,,,,,Opfer von vorsätzlicher Tötung,63.0
2015,Anzahl,13 Jahre und jünger,,,,,,,Opfer von vorsätzlicher Tötung,62.0
2016,Anzahl,13 Jahre und jünger,,,,,,,Opfer von vorsätzlicher Tötung,68.0
2017,Anzahl,13 Jahre und jünger,,,,,,,Opfer von vorsätzlicher Tötung,67.0
2018,Anzahl,13 Jahre und jünger,,,,,,,Opfer von vorsätzlicher Tötung,70.0
2019,Anzahl,13 Jahre und jünger,,,,,,,Opfer von vorsätzlicher Tötung,46.0
2020,Anzahl,13 Jahre und jünger,,,,,,,Opfer von vorsätzlicher Tötung,79.0
2021,Anzahl,13 Jahre und jünger,,,,,,,Opfer von vorsätzlicher Tötung,83.0
2022,Anzahl,13 Jahre und jünger,,,,,,,Opfer von vorsätzlicher Tötung,51.0
2023,Anzahl,13 Jahre und jünger,,,,,,,Opfer von vorsätzlicher Tötung,72.0
2024,Anzahl,13 Jahre und jünger,,,,,,,Opfer von vorsätzlicher Tötung,56.0
2025,Anzahl,13 Jahre und jünger,,,,,,,Opfer von vorsätzlicher Tötung,92.0
2010,Anzahl,14 bis unter 18 Jahre,,,,,,,Opfer von vorsätzlicher Tötung,22.0
2011,Anzahl,14 bis unter 18 Jahre,,,,,,,Opfer von vorsätzlicher Tötung,27.0
2012,Anzahl,14 bis unter 18 Jahre,,,,,,,Opfer von vorsätzlicher Tötung,6.0
2013,Anzahl,14 bis unter 18 Jahre,,,,,,,Opfer von vorsätzlicher Tötung,12.0
2014,Anzahl,14 bis unter 18 Jahre,,,,,,,Opfer von vorsätzlicher Tötung,15.0
2015,Anzahl,14 bis unter 18 Jahre,,,,,,,Opfer von vorsätzlicher Tötung,14.0
2016,Anzahl,14 bis unter 18 Jahre,,,,,,,Opfer von vorsätzlicher Tötung,35.0
2017,Anzahl,14 bis unter 18 Jahre,,,,,,,Opfer von vorsätzlicher Tötung,4.0
2018,Anzahl,14 bis unter 18 Jahre,,,,,,,Opfer von vorsätzlicher Tötung,14.0
2019,Anzahl,14 bis unter 18 Jahre,,,,,,,Opfer von vorsätzlicher Tötung,11.0
2020,Anzahl,14 bis unter 18 Jahre,,,,,,,Opfer von vorsätzlicher Tötung,12.0
2021,Anzahl,14 bis unter 18 Jahre,,,,,,,Opfer von vorsätzlicher Tötung,14.0
2022,Anzahl,14 bis unter 18 Jahre,,,,,,,Opfer von vorsätzlicher Tötung,14.0
2023,Anzahl,14 bis unter 18 Jahre,,,,,,,Opfer von vorsätzlicher Tötung,17.0
2024,Anzahl,14 bis unter 18 Jahre,,,,,,,Opfer von vorsätzlicher Tötung,15.0
2025,Anzahl,14 bis unter 18 Jahre,,,,,,,Opfer von vorsätzlicher Tötung,36.0
2010,Anzahl,18 bis unter 21 Jahre,,,,,,,Opfer von vorsätzlicher Tötung,38.0
2011,Anzahl,18 bis unter 21 Jahre,,,,,,,Opfer von vorsätzlicher Tötung,29.0
2012,Anzahl,18 bis unter 21 Jahre,,,,,,,Opfer von vorsätzlicher Tötung,23.0
2013,Anzahl,18 bis unter 21 Jahre,,,,,,,Opfer von vorsätzlicher Tötung,15.0
2014,Anzahl,18 bis unter 21 Jahre,,,,,,,Opfer von vorsätzlicher Tötung,20.0
2015,Anzahl,18 bis unter 21 Jahre,,,,,,,Opfer von vorsätzlicher Tötung,18.0
2016,Anzahl,18 bis unter 21 Jahre,,,,,,,Opfer von vorsätzlicher Tötung,43.0
2017,Anzahl,18 bis unter 21 Jahre,,,,,,,Opfer von vorsätzlicher Tötung,16.0
2018,Anzahl,18 bis unter 21 Jahre,,,,,,,Opfer von vorsätzlicher Tötung,26.0
2019,Anzahl,18 bis unter 21 Jahre,,,,,,,Opfer von vorsätzlicher Tötung,16.0
2020,Anzahl,18 bis unter 21 Jahre,,,,,,,Opfer von vorsätzlicher Tötung,21.0
2021,Anzahl,18 bis unter 21 Jahre,,,,,,,Opfer von vorsätzlicher Tötung,19.0
2022,Anzahl,18 bis unter 21 Jahre,,,,,,,Opfer von vorsätzlicher Tötung,23.0
2023,Anzahl,18 bis unter 21 Jahre,,,,,,,Opfer von vorsätzlicher Tötung,18.0
2024,Anzahl,18 bis unter 21 Jahre,,,,,,,Opfer von vorsätzlicher Tötung,27.0
2025,Anzahl,18 bis unter 21 Jahre,,,,,,,Opfer von vorsätzlicher Tötung,34.0
2010,Anzahl,21 bis unter 60 Jahre,,,,,,,Opfer von vorsätzlicher Tötung,448.0
2011,Anzahl,21 bis unter 60 Jahre,,,,,,,Opfer von vorsätzlicher Tötung,424.0
2012,Anzahl,21 bis unter 60 Jahre,,,,,,,Opfer von vorsätzlicher Tötung,359.0
2013,Anzahl,21 bis unter 60 Jahre,,,,,,,Opfer von vorsätzlicher Tötung,377.0
2014,Anzahl,21 bis unter 60 Jahre,,,,,,,Opfer von vorsätzlicher Tötung,405.0
2015,Anzahl,21 bis unter 60 Jahre,,,,,,,Opfer von vorsätzlicher Tötung,343.0
2016,Anzahl,21 bis unter 60 Jahre,,,,,,,Opfer von vorsätzlicher Tötung,527.0
2017,Anzahl,21 bis unter 60 Jahre,,,,,,,Opfer von vorsätzlicher Tötung,414.0
2018,Anzahl,21 bis unter 60 Jahre,,,,,,,Opfer von vorsätzlicher Tötung,445.0
2019,Anzahl,21 bis unter 60 Jahre,,,,,,,Opfer von vorsätzlicher Tötung,349.0
2020,Anzahl,21 bis unter 60 Jahre,,,,,,,Opfer von vorsätzlicher Tötung,378.0
2021,Anzahl,21 bis unter 60 Jahre,,,,,,,Opfer von vorsätzlicher Tötung,336.0
2022,Anzahl,21 bis unter 60 Jahre,,,,,,,Opfer von vorsätzlicher Tötung,334.0
2023,Anzahl,21 bis unter 60 Jahre,,,,,,,Opfer von vorsätzlicher Tötung,430.0
2024,Anzahl,21 bis unter 60 Jahre,,,,,,,Opfer von vorsätzlicher Tötung,412.0
2025,Anzahl,21 bis unter 60 Jahre,,,,,,,Opfer von vorsätzlicher Tötung,579.0
2010,Anzahl,60 Jahre und älter,,,,,,,Opfer von vorsätzlicher Tötung,208.0
2011,Anzahl,60 Jahre und älter,,,,,,,Opfer von vorsätzlicher Tötung,185.0
2012,Anzahl,60 Jahre und älter,,,,,,,Opfer von vorsätzlicher Tötung,181.0
2013,Anzahl,60 Jahre und älter,,,,,,,Opfer von vorsätzlicher Tötung,212.0
2014,Anzahl,60 Jahre und älter,,,,,,,Opfer von vorsätzlicher Tötung,213.0
2015,Anzahl,60 Jahre und älter,,,,,,,Opfer von vorsätzlicher Tötung,245.0
2016,Anzahl,60 Jahre und älter,,,,,,,Opfer von vorsätzlicher Tötung,290.0
2017,Anzahl,60 Jahre und älter,,,,,,,Opfer von vorsätzlicher Tötung,312.0
2018,Anzahl,60 Jahre und älter,,,,,,,Opfer von vorsätzlicher Tötung,233.0
2019,Anzahl,60 Jahre und älter,,,,,,,Opfer von vorsätzlicher Tötung,201.0
2020,Anzahl,60 Jahre und älter,,,,,,,Opfer von vorsätzlicher Tötung,292.0
2021,Anzahl,60 Jahre und älter,,,,,,,Opfer von vorsätzlicher Tötung,243.0
2022,Anzahl,60 Jahre und älter,,,,,,,Opfer von vorsätzlicher Tötung,264.0
2023,Anzahl,60 Jahre und älter,,,,,,,Opfer von vorsätzlicher Tötung,233.0
2024,Anzahl,60 Jahre und älter,,,,,,,Opfer von vorsätzlicher Tötung,269.0
2025,Anzahl,60 Jahre und älter,,,,,,,Opfer von vorsätzlicher Tötung,371.0
2010,Anzahl,,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,393.0
2011,Anzahl,,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,338.0
2012,Anzahl,,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,296.0
2013,Anzahl,,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,328.0
2014,Anzahl,,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,339.0
2015,Anzahl,,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,327.0
2016,Anzahl,,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,469.0
2017,Anzahl,,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,380.0
2018,Anzahl,,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,367.0
2019,Anzahl,,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,276.0
2020,Anzahl,,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,357.0
2021,Anzahl,,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,337.0
2022,Anzahl,,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,349.0
2023,Anzahl,,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,374.0
2024,Anzahl,,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,338.0
2025,Anzahl,,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,552.0
2010,Anzahl,,Männlich,,,,,,Opfer von vorsätzlicher Tötung,400.0
2011,Anzahl,,Männlich,,,,,,Opfer von vorsätzlicher Tötung,400.0
2012,Anzahl,,Männlich,,,,,,Opfer von vorsätzlicher Tötung,363.0
2013,Anzahl,,Männlich,,,,,,Opfer von vorsätzlicher Tötung,354.0
2014,Anzahl,,Männlich,,,,,,Opfer von vorsätzlicher Tötung,377.0
2015,Anzahl,,Männlich,,,,,,Opfer von vorsätzlicher Tötung,355.0
2016,Anzahl,,Männlich,,,,,,Opfer von vorsätzlicher Tötung,494.0
2017,Anzahl,,Männlich,,,,,,Opfer von vorsätzlicher Tötung,433.0
2018,Anzahl,,Männlich,,,,,,Opfer von vorsätzlicher Tötung,421.0
2019,Anzahl,,Männlich,,,,,,Opfer von vorsätzlicher Tötung,347.0
2020,Anzahl,,Männlich,,,,,,Opfer von vorsätzlicher Tötung,425.0
2021,Anzahl,,Männlich,,,,,,Opfer von vorsätzlicher Tötung,358.0
2022,Anzahl,,Männlich,,,,,,Opfer von vorsätzlicher Tötung,337.0
2023,Anzahl,,Männlich,,,,,,Opfer von vorsätzlicher Tötung,396.0
2024,Anzahl,,Männlich,,,,,,Opfer von vorsätzlicher Tötung,441.0
2025,Anzahl,,Männlich,,,,,,Opfer von vorsätzlicher Tötung,560.0
2010,Anzahl,13 Jahre und jünger,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,37.0
2011,Anzahl,13 Jahre und jünger,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,24.0
2012,Anzahl,13 Jahre und jünger,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,39.0
2013,Anzahl,13 Jahre und jünger,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,37.0
2014,Anzahl,13 Jahre und jünger,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,24.0
2015,Anzahl,13 Jahre und jünger,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,25.0
2016,Anzahl,13 Jahre und jünger,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,30.0
2017,Anzahl,13 Jahre und jünger,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,28.0
2018,Anzahl,13 Jahre und jünger,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,30.0
2019,Anzahl,13 Jahre und jünger,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,17.0
2020,Anzahl,13 Jahre und jünger,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,43.0
2021,Anzahl,13 Jahre und jünger,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,43.0
2022,Anzahl,13 Jahre und jünger,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,27.0
2023,Anzahl,13 Jahre und jünger,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,39.0
2024,Anzahl,13 Jahre und jünger,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,20.0
2025,Anzahl,13 Jahre und jünger,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,48.0
2010,Anzahl,13 Jahre und jünger,Männlich,,,,,,Opfer von vorsätzlicher Tötung,40.0
2011,Anzahl,13 Jahre und jünger,Männlich,,,,,,Opfer von vorsätzlicher Tötung,49.0
2012,Anzahl,13 Jahre und jünger,Männlich,,,,,,Opfer von vorsätzlicher Tötung,51.0
2013,Anzahl,13 Jahre und jünger,Männlich,,,,,,Opfer von vorsätzlicher Tötung,29.0
2014,Anzahl,13 Jahre und jünger,Männlich,,,,,,Opfer von vorsätzlicher Tötung,39.0
2015,Anzahl,13 Jahre und jünger,Männlich,,,,,,Opfer von vorsätzlicher Tötung,37.0
2016,Anzahl,13 Jahre und jünger,Männlich,,,,,,Opfer von vorsätzlicher Tötung,38.0
2017,Anzahl,13 Jahre und jünger,Männlich,,,,,,Opfer von vorsätzlicher Tötung,39.0
2018,Anzahl,13 Jahre und jünger,Männlich,,,,,,Opfer von vorsätzlicher Tötung,40.0
2019,Anzahl,13 Jahre und jünger,Männlich,,,,,,Opfer von vorsätzlicher Tötung,29.0
2020,Anzahl,13 Jahre und jünger,Männlich,,,,,,Opfer von vorsätzlicher Tötung,36.0
2021,Anzahl,13 Jahre und jünger,Männlich,,,,,,Opfer von vorsätzlicher Tötung,40.0
2022,Anzahl,13 Jahre und jünger,Männlich,,,,,,Opfer von vorsätzlicher Tötung,24.0
2023,Anzahl,13 Jahre und jünger,Männlich,,,,,,Opfer von vorsätzlicher Tötung,33.0
2024,Anzahl,13 Jahre und jünger,Männlich,,,,,,Opfer von vorsätzlicher Tötung,36.0
2025,Anzahl,13 Jahre und jünger,Männlich,,,,,,Opfer von vorsätzlicher Tötung,44.0
2010,Anzahl,14 bis unter 18 Jahre,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,14.0
2011,Anzahl,14 bis unter 18 Jahre,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,12.0
2012,Anzahl,14 bis unter 18 Jahre,Weiblich,,,‒,,,Opfer von vorsätzlicher Tötung,0.0
2013,Anzahl,14 bis unter 18 Jahre,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,4.0
2014,Anzahl,14 bis unter 18 Jahre,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,5.0
2015,Anzahl,14 bis unter 18 Jahre,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,9.0
2016,Anzahl,14 bis unter 18 Jahre,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,22.0
2017,Anzahl,14 bis unter 18 Jahre,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,1.0
2018,Anzahl,14 bis unter 18 Jahre,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,8.0
2019,Anzahl,14 bis unter 18 Jahre,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,4.0
2020,Anzahl,14 bis unter 18 Jahre,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,4.0
2021,Anzahl,14 bis unter 18 Jahre,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,7.0
2022,Anzahl,14 bis unter 18 Jahre,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,12.0
2023,Anzahl,14 bis unter 18 Jahre,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,8.0
2024,Anzahl,14 bis unter 18 Jahre,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,7.0
2025,Anzahl,14 bis unter 18 Jahre,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,16.0
2010,Anzahl,14 bis unter 18 Jahre,Männlich,,,,,,Opfer von vorsätzlicher Tötung,8.0
2011,Anzahl,14 bis unter 18 Jahre,Männlich,,,,,,Opfer von vorsätzlicher Tötung,15.0
2012,Anzahl,14 bis unter 18 Jahre,Männlich,,,,,,Opfer von vorsätzlicher Tötung,6.0
2013,Anzahl,14 bis unter 18 Jahre,Männlich,,,,,,Opfer von vorsätzlicher Tötung,8.0
2014,Anzahl,14 bis unter 18 Jahre,Männlich,,,,,,Opfer von vorsätzlicher Tötung,10.0
2015,Anzahl,14 bis unter 18 Jahre,Männlich,,,,,,Opfer von vorsätzlicher Tötung,5.0
2016,Anzahl,14 bis unter 18 Jahre,Männlich,,,,,,Opfer von vorsätzlicher Tötung,13.0
2017,Anzahl,14 bis unter 18 Jahre,Männlich,,,,,,Opfer von vorsätzlicher Tötung,3.0
2018,Anzahl,14 bis unter 18 Jahre,Männlich,,,,,,Opfer von vorsätzlicher Tötung,6.0
2019,Anzahl,14 bis unter 18 Jahre,Männlich,,,,,,Opfer von vorsätzlicher Tötung,7.0
2020,Anzahl,14 bis unter 18 Jahre,Männlich,,,,,,Opfer von vorsätzlicher Tötung,8.0
2021,Anzahl,14 bis unter 18 Jahre,Männlich,,,,,,Opfer von vorsätzlicher Tötung,7.0
2022,Anzahl,14 bis unter 18 Jahre,Männlich,,,,,,Opfer von vorsätzlicher Tötung,2.0
2023,Anzahl,14 bis unter 18 Jahre,Männlich,,,,,,Opfer von vorsätzlicher Tötung,9.0
2024,Anzahl,14 bis unter 18 Jahre,Männlich,,,,,,Opfer von vorsätzlicher Tötung,8.0
2025,Anzahl,14 bis unter 18 Jahre,Männlich,,,,,,Opfer von vorsätzlicher Tötung,20.0
2010,Anzahl,18 bis unter 21 Jahre,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,19.0
2011,Anzahl,18 bis unter 21 Jahre,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,10.0
2012,Anzahl,18 bis unter 21 Jahre,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,10.0
2013,Anzahl,18 bis unter 21 Jahre,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,6.0
2014,Anzahl,18 bis unter 21 Jahre,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,9.0
2015,Anzahl,18 bis unter 21 Jahre,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,9.0
2016,Anzahl,18 bis unter 21 Jahre,Weiblich,,,,,,Opfer von vorsätzlicher Tötung,18.0
