Year,Bildungsstand,Art der IKT-Kompetenz,Schulfach,Altersklasse,COMMENT_OBS_0,COMMENT_OBS_1,COMMENT_OBS_2,Series,Value
2023,,"Erstellung von Dateien mit Elementen wie Texte, Bildern, Tabellen, Grafiken, Animationen oder Ton",,16 bis unter 25 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,44.0
2024,,"Erstellung von Dateien mit Elementen wie Texte, Bildern, Tabellen, Grafiken, Animationen oder Ton",,16 bis unter 25 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2025,,"Erstellung von Dateien mit Elementen wie Texte, Bildern, Tabellen, Grafiken, Animationen oder Ton",,16 bis unter 25 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,44.1
2010,,"Nutzung von erweiterten Tabellenfunktionen zur Organisation und Analyse von Daten, wie beispielsweise Sortieren, Filtern, Formeln und Grafiken",,16 bis unter 25 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2011,,"Nutzung von erweiterten Tabellenfunktionen zur Organisation und Analyse von Daten, wie beispielsweise Sortieren, Filtern, Formeln und Grafiken",,16 bis unter 25 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2012,,"Nutzung von erweiterten Tabellenfunktionen zur Organisation und Analyse von Daten, wie beispielsweise Sortieren, Filtern, Formeln und Grafiken",,16 bis unter 25 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2013,,"Nutzung von erweiterten Tabellenfunktionen zur Organisation und Analyse von Daten, wie beispielsweise Sortieren, Filtern, Formeln und Grafiken",,16 bis unter 25 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2014,,"Nutzung von erweiterten Tabellenfunktionen zur Organisation und Analyse von Daten, wie beispielsweise Sortieren, Filtern, Formeln und Grafiken",,16 bis unter 25 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2015,,"Nutzung von erweiterten Tabellenfunktionen zur Organisation und Analyse von Daten, wie beispielsweise Sortieren, Filtern, Formeln und Grafiken",,16 bis unter 25 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,35.0
2016,,"Nutzung von erweiterten Tabellenfunktionen zur Organisation und Analyse von Daten, wie beispielsweise Sortieren, Filtern, Formeln und Grafiken",,16 bis unter 25 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,34.0
2017,,"Nutzung von erweiterten Tabellenfunktionen zur Organisation und Analyse von Daten, wie beispielsweise Sortieren, Filtern, Formeln und Grafiken",,16 bis unter 25 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,36.0
2018,,"Nutzung von erweiterten Tabellenfunktionen zur Organisation und Analyse von Daten, wie beispielsweise Sortieren, Filtern, Formeln und Grafiken",,16 bis unter 25 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2019,,"Nutzung von erweiterten Tabellenfunktionen zur Organisation und Analyse von Daten, wie beispielsweise Sortieren, Filtern, Formeln und Grafiken",,16 bis unter 25 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,34.0
2020,,"Nutzung von erweiterten Tabellenfunktionen zur Organisation und Analyse von Daten, wie beispielsweise Sortieren, Filtern, Formeln und Grafiken",,16 bis unter 25 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2021,,"Nutzung von erweiterten Tabellenfunktionen zur Organisation und Analyse von Daten, wie beispielsweise Sortieren, Filtern, Formeln und Grafiken",,16 bis unter 25 Jahre,|,,,Bevölkerung mit computerbezogenen Aktivitäten,33.2
2022,,"Nutzung von erweiterten Tabellenfunktionen zur Organisation und Analyse von Daten, wie beispielsweise Sortieren, Filtern, Formeln und Grafiken",,16 bis unter 25 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2023,,"Nutzung von erweiterten Tabellenfunktionen zur Organisation und Analyse von Daten, wie beispielsweise Sortieren, Filtern, Formeln und Grafiken",,16 bis unter 25 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,29.8
2024,,"Nutzung von erweiterten Tabellenfunktionen zur Organisation und Analyse von Daten, wie beispielsweise Sortieren, Filtern, Formeln und Grafiken",,16 bis unter 25 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2025,,"Nutzung von erweiterten Tabellenfunktionen zur Organisation und Analyse von Daten, wie beispielsweise Sortieren, Filtern, Formeln und Grafiken",,16 bis unter 25 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,28.2
2010,,Kopieren oder Verschieben von Dateien und Ordnern,,25 bis unter 65 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2011,,Kopieren oder Verschieben von Dateien und Ordnern,,25 bis unter 65 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,76.0
2012,,Kopieren oder Verschieben von Dateien und Ordnern,,25 bis unter 65 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,71.0
2013,,Kopieren oder Verschieben von Dateien und Ordnern,,25 bis unter 65 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2014,,Kopieren oder Verschieben von Dateien und Ordnern,,25 bis unter 65 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,80.0
2015,,Kopieren oder Verschieben von Dateien und Ordnern,,25 bis unter 65 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,72.0
2016,,Kopieren oder Verschieben von Dateien und Ordnern,,25 bis unter 65 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,72.0
2017,,Kopieren oder Verschieben von Dateien und Ordnern,,25 bis unter 65 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,73.0
2018,,Kopieren oder Verschieben von Dateien und Ordnern,,25 bis unter 65 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2019,,Kopieren oder Verschieben von Dateien und Ordnern,,25 bis unter 65 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,75.0
2011,,"Verwendung von Werkzeugen zum Kopieren oder Ausschneiden und Einfügen, um Informationen auf dem Bildschirm zu duplizieren oder zu verschieben",,25 bis unter 65 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,74.0
2012,,"Verwendung von Werkzeugen zum Kopieren oder Ausschneiden und Einfügen, um Informationen auf dem Bildschirm zu duplizieren oder zu verschieben",,25 bis unter 65 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,69.0
2014,,"Verwendung von Werkzeugen zum Kopieren oder Ausschneiden und Einfügen, um Informationen auf dem Bildschirm zu duplizieren oder zu verschieben",,25 bis unter 65 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,77.0
2010,,Schreiben eines Programmes in einer Programmiersprache,,25 bis unter 65 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2011,,Schreiben eines Programmes in einer Programmiersprache,,25 bis unter 65 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2012,,Schreiben eines Programmes in einer Programmiersprache,,25 bis unter 65 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2013,,Schreiben eines Programmes in einer Programmiersprache,,25 bis unter 65 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2014,,Schreiben eines Programmes in einer Programmiersprache,,25 bis unter 65 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2015,,Schreiben eines Programmes in einer Programmiersprache,,25 bis unter 65 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,6.0
2016,,Schreiben eines Programmes in einer Programmiersprache,,25 bis unter 65 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,5.0
2017,,Schreiben eines Programmes in einer Programmiersprache,,25 bis unter 65 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,5.0
2018,,Schreiben eines Programmes in einer Programmiersprache,,25 bis unter 65 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2019,,Schreiben eines Programmes in einer Programmiersprache,,25 bis unter 65 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,5.0
2020,,Schreiben eines Programmes in einer Programmiersprache,,25 bis unter 65 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2021,,Schreiben eines Programmes in einer Programmiersprache,,25 bis unter 65 Jahre,|,,,Bevölkerung mit computerbezogenen Aktivitäten,4.5
2022,,Schreiben eines Programmes in einer Programmiersprache,,25 bis unter 65 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2023,,Schreiben eines Programmes in einer Programmiersprache,,25 bis unter 65 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,5.8
2024,,Schreiben eines Programmes in einer Programmiersprache,,25 bis unter 65 Jahre,.,,,Bevölkerung mit computerbezogenen Aktivitäten,
2025,,Schreiben eines Programmes in einer Programmiersprache,,25 bis unter 65 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,6.4
2011,,"Anschließen und Installieren neuer Geräte, z. B. eines Druckers oder eines Modems",,25 bis unter 65 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,47.0
2012,,"Anschließen und Installieren neuer Geräte, z. B. eines Druckers oder eines Modems",,25 bis unter 65 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,48.0
2014,,"Anschließen und Installieren neuer Geräte, z. B. eines Druckers oder eines Modems",,25 bis unter 65 Jahre,,,,Bevölkerung mit computerbezogenen Aktivitäten,53.0
